"Time (s) 2.0V","Angle (rad) 2.0V","Angular Velocity (rad/s) 2.0V","Angular Acceleration (rad/s²) 2.0V","Position (m) 2.0V","Velocity (m/s) 2.0V","Acceleration (m/s²) 2.0V","Time (s) 1.5V","Angle (rad) 1.5V","Angular Velocity (rad/s) 1.5V","Angular Acceleration (rad/s²) 1.5V","Position (m) 1.5V","Velocity (m/s) 1.5V","Acceleration (m/s²) 1.5V","Time (s) 1.0V","Angle (rad) 1.0V","Angular Velocity (rad/s) 1.0V","Angular Acceleration (rad/s²) 1.0V","Position (m) 1.0V","Velocity (m/s) 1.0V","Acceleration (m/s²) 1.0V","Time (s) 2.5V","Angle (rad) 2.5V","Angular Velocity (rad/s) 2.5V","Angular Acceleration (rad/s²) 2.5V","Position (m) 2.5V","Velocity (m/s) 2.5V","Acceleration (m/s²) 2.5V","Time (s) 3.0V","Angle (rad) 3.0V","Angular Velocity (rad/s) 3.0V","Angular Acceleration (rad/s²) 3.0V","Position (m) 3.0V","Velocity (m/s) 3.0V","Acceleration (m/s²) 3.0V","Time (s) 4.0V","Angle (rad) 4.0V","Angular Velocity (rad/s) 4.0V","Angular Acceleration (rad/s²) 4.0V","Position (m) 4.0V","Velocity (m/s) 4.0V","Acceleration (m/s²) 4.0V","Time (s) 4.5V","Angle (rad) 4.5V","Angular Velocity (rad/s) 4.5V","Angular Acceleration (rad/s²) 4.5V","Position (m) 4.5V","Velocity (m/s) 4.5V","Acceleration (m/s²) 4.5V","Time (s) 5.0V","Angle (rad) 5.0V","Angular Velocity (rad/s) 5.0V","Angular Acceleration (rad/s²) 5.0V","Position (m) 5.0V","Velocity (m/s) 5.0V","Acceleration (m/s²) 5.0V","Time (s) 5.5V","Angle (rad) 5.5V","Angular Velocity (rad/s) 5.5V","Angular Acceleration (rad/s²) 5.5V","Position (m) 5.5V","Velocity (m/s) 5.5V","Acceleration (m/s²) 5.5V","Time (s) 6.0V","Angle (rad) 6.0V","Angular Velocity (rad/s) 6.0V","Angular Acceleration (rad/s²) 6.0V","Position (m) 6.0V","Velocity (m/s) 6.0V","Acceleration (m/s²) 6.0V","Time (s) 6.5V","Angle (rad) 6.5V","Angular Velocity (rad/s) 6.5V","Angular Acceleration (rad/s²) 6.5V","Position (m) 6.5V","Velocity (m/s) 6.5V","Acceleration (m/s²) 6.5V","Time (s) 3.5V","Angle (rad) 3.5V","Angular Velocity (rad/s) 3.5V","Angular Acceleration (rad/s²) 3.5V","Position (m) 3.5V","Velocity (m/s) 3.5V","Acceleration (m/s²) 3.5V"
65.600,-0.972,-4.063,19.268,-0.0232,-0.097,0.460,65.600,-0.292,0.204,1.798,-0.0070,0.005,0.043,65.600,-0.361,-1.833,2.670,-0.0086,-0.044,0.064,,,,,,,,65.600,2.928,-0.906,-65.816,0.0699,-0.022,-1.571,65.600,-0.600,0.859,33.004,-0.0143,0.020,0.788,65.600,-1.517,-12.593,28.746,-0.0362,-0.301,0.686,65.600,-3.354,-0.016,-11.414,-0.0801,-3.750E-4,-0.272,65.600,0.639,2.094,-49.253,0.0153,0.050,-1.176,65.600,0.558,-4.220,-30.508,0.0133,-0.101,-0.728,65.600,0.504,-3.513,-26.354,0.0120,-0.084,-0.629,65.600,-3.083,-10.283,-4.102,-0.0736,-0.245,-0.098
65.650,-1.151,-2.927,23.597,-0.0275,-0.070,0.563,65.650,-0.280,0.293,1.623,-0.0067,0.007,0.039,65.650,-0.452,-1.597,6.039,-0.0108,-0.038,0.144,,,,,,,,65.650,2.802,-4.210,-65.921,0.0669,-0.100,-1.574,65.650,-0.512,2.466,28.746,-0.0122,0.059,0.686,65.650,-2.095,-10.954,27.070,-0.0500,-0.261,0.646,65.650,-3.369,-0.560,-10.228,-0.0804,-0.013,-0.244,65.650,0.680,-0.628,-51.348,0.0162,-0.015,-1.226,65.650,0.292,-5.498,-16.860,0.0070,-0.131,-0.403,65.650,0.281,-4.613,-14.294,0.0067,-0.110,-0.341,65.650,-3.600,-10.760,-6.964,-0.0860,-0.257,-0.166
65.700,-1.269,-1.639,26.023,-0.0303,-0.039,0.621,65.700,-0.262,0.372,1.309,-0.0063,0.009,0.031,65.700,-0.526,-1.204,8.692,-0.0126,-0.029,0.207,,,,,,,,65.700,2.510,-7.561,-63.547,0.0599,-0.181,-1.517,65.700,-0.346,3.812,22.096,-0.0082,0.091,0.527,65.700,-2.597,-9.708,19.775,-0.0620,-0.232,0.472,65.700,-3.412,-1.042,-8.936,-0.0814,-0.025,-0.213,65.700,0.575,-3.283,-46.478,0.0137,-0.078,-1.110,65.700,-0.020,-5.969,-1.484,-4.8750E-4,-0.143,-0.035,65.700,0.017,-5.000,-0.646,4.1250E-4,-0.119,-0.015,65.700,-4.156,-11.257,-2.234,-0.0992,-0.269,-0.053
65.750,-1.318,-0.283,27.070,-0.0315,-0.007,0.646,65.750,-0.242,0.429,0.873,-0.0058,0.010,0.021,65.750,-0.576,-0.696,10.420,-0.0138,-0.017,0.249,,,,,,,,65.750,2.045,-10.770,-55.222,0.0488,-0.257,-1.318,65.750,-0.118,4.765,13.038,-0.0028,0.114,0.311,65.750,-3.047,-8.964,11.432,-0.0727,-0.214,0.273,65.750,-3.476,-1.456,-7.627,-0.0830,-0.035,-0.182,65.750,0.336,-5.503,-35.291,0.0080,-0.131,-0.843,65.750,-0.335,-5.613,13.090,-0.0080,-0.134,0.313,65.750,-0.245,-4.650,12.287,-0.0059,-0.111,0.293,65.750,-4.742,-11.294,10.612,-0.1132,-0.270,0.253
65.800,-1.297,1.100,27.018,-0.0310,0.026,0.645,65.800,-0.218,0.461,0.349,-0.0052,0.011,0.008,65.800,-0.598,-0.126,11.118,-0.0143,-0.003,0.265,,,,,,,,65.800,1.417,-13.409,-38.799,0.0338,-0.320,-0.926,65.800,0.149,5.189,2.025,0.0036,0.124,0.048,65.800,-3.478,-8.650,5.271,-0.0830,-0.206,0.126,65.800,-3.559,-1.801,-6.370,-0.0850,-0.043,-0.152,65.800,-0.002,-6.974,-19.652,-3.7500E-5,-0.166,-0.469,65.800,-0.606,-4.550,24.784,-0.0145,-0.109,0.592,65.800,-0.470,-3.670,22.532,-0.0112,-0.088,0.538,65.800,-5.319,-10.420,29.234,-0.1270,-0.249,0.698
65.850,-1.208,2.456,25.744,-0.0288,0.059,0.615,65.850,-0.195,0.466,-0.192,-0.0047,0.011,-0.005,65.850,-0.589,0.450,10.786,-0.0141,0.011,0.258,,,,,,,,65.850,0.664,-14.928,-16.214,0.0159,-0.356,-0.387,65.850,0.423,5.000,-9.826,0.0101,0.119,-0.235,65.850,-3.903,-8.582,3.177,-0.0932,-0.205,0.076,65.850,-3.658,-2.089,-5.201,-0.0873,-0.050,-0.124,65.850,-0.394,-7.524,-2.321,-0.0094,-0.180,-0.055,65.850,-0.806,-2.990,32.463,-0.0192,-0.071,0.775,65.850,-0.627,-2.257,28.903,-0.0150,-0.054,0.690,65.850,-5.826,-8.414,49.114,-0.1391,-0.201,1.172
65.900,-1.049,3.728,22.759,-0.0250,0.089,0.543,65.900,-0.171,0.440,-0.698,-0.0041,0.010,-0.017,65.900,-0.551,0.984,9.477,-0.0132,0.023,0.226,,,,,,,,65.900,-0.132,-15.043,6.248,-0.0032,-0.359,0.149,65.900,0.671,4.184,-20.944,0.0160,0.100,-0.500,65.900,-4.335,-8.508,6.021,-0.1035,-0.203,0.144,65.900,-3.770,-2.320,-4.136,-0.0900,-0.055,-0.099,65.900,-0.787,-7.158,13.858,-0.0188,-0.171,0.331,65.900,-0.914,-1.157,35.867,-0.0218,-0.028,0.856,65.900,-0.702,-0.634,31.032,-0.0168,-0.015,0.741,65.900,-6.198,-5.367,65.380,-0.1480,-0.128,1.561
65.950,-0.829,4.812,17.488,-0.0198,0.115,0.417,65.950,-0.149,0.393,-1.117,-0.0036,0.009,-0.027,65.950,-0.489,1.429,7.261,-0.0117,0.034,0.173,,,,,,,,65.950,-0.884,-14.001,21.293,-0.0211,-0.334,0.508,65.950,0.861,2.822,-29.636,0.0206,0.067,-0.707,65.950,-4.764,-8.152,13.491,-0.1137,-0.195,0.322,65.950,-3.892,-2.498,-3.211,-0.0929,-0.060,-0.077,65.950,-1.136,-6.016,26.861,-0.0271,-0.144,0.641,65.950,-0.924,0.733,35.186,-0.0221,0.018,0.840,65.950,-0.690,0.984,29.095,-0.0165,0.024,0.695,65.950,-6.387,-1.613,74.473,-0.1525,-0.039,1.778
66.000,-0.558,5.571,9.634,-0.0133,0.133,0.230,66.000,-0.132,0.325,-1.396,-0.0032,0.008,-0.033,66.000,-0.404,1.738,4.259,-0.0096,0.041,0.102,,,,,,,,66.000,-1.547,-12.462,25.098,-0.0369,-0.297,0.599,66.000,0.966,1.084,-34.488,0.0231,0.026,-0.823,66.000,-5.169,-7.273,23.946,-0.1234,-0.174,0.572,66.000,-4.021,-2.634,-2.513,-0.0960,-0.063,-0.060,66.000,-1.407,-4.325,35.867,-0.0336,-0.103,0.856,66.000,-0.836,2.487,30.718,-0.0200,0.059,0.733,66.000,-0.597,2.398,23.597,-0.0143,0.057,0.563,66.000,-6.368,2.393,74.700,-0.1520,0.057,1.783
66.050,-0.256,5.859,-0.436,-0.0061,0.140,-0.010,66.050,-0.116,0.246,-1.501,-0.0028,0.006,-0.036,66.050,-0.308,1.874,0.733,-0.0073,0.045,0.017,,,,,,,,66.050,-2.121,-11.121,19.094,-0.0506,-0.265,0.456,66.050,0.974,-0.791,-34.732,0.0233,-0.019,-0.829,66.050,-5.515,-5.770,34.680,-0.1317,-0.138,0.828,66.050,-4.156,-2.738,-2.077,-0.0992,-0.065,-0.050,66.050,-1.579,-2.299,41.085,-0.0377,-0.055,0.981,66.050,-0.664,3.922,22.811,-0.0159,0.094,0.545,66.050,-0.437,3.440,15.272,-0.0104,0.082,0.365,66.050,-6.140,6.168,66.113,-0.1466,0.147,1.578
66.100,0.049,5.571,-11.606,0.0012,0.133,-0.277,66.100,-0.107,0.168,-1.396,-0.0026,0.004,-0.033,66.100,-0.210,1.817,-2.967,-0.0050,0.043,-0.071,,,,,,,,66.100,-2.634,-10.393,8.273,-0.0629,-0.248,0.197,66.100,0.883,-2.550,-30.369,0.0211,-0.061,-0.725,66.100,-5.766,-3.707,42.830,-0.1377,-0.088,1.022,66.100,-4.296,-2.833,-1.850,-0.1026,-0.068,-0.044,66.100,-1.641,-0.115,43.162,-0.0392,-0.003,1.030,66.100,-0.427,4.869,12.043,-0.0102,0.116,0.288,66.100,-0.236,3.990,5.114,-0.0056,0.095,0.122,66.100,-5.727,9.262,50.615,-0.1367,0.221,1.208
66.150,0.322,4.681,-22.201,0.0077,0.112,-0.530,66.150,-0.101,0.099,-1.134,-0.0024,0.002,-0.027,66.150,-0.119,1.571,-6.440,-0.0028,0.037,-0.154,,,,,,,,66.150,-3.134,-10.341,-1.728,-0.0748,-0.247,-0.041,66.150,0.707,-3.964,-22.113,0.0169,-0.095,-0.528,66.150,-5.898,-1.314,46.373,-0.1408,-0.031,1.107,66.150,-4.439,-2.922,-1.658,-0.1060,-0.070,-0.040,66.150,-1.591,2.100,42.394,-0.0380,0.050,1.012,66.150,-0.156,5.194,-0.541,-0.0037,0.124,-0.013,66.150,-0.019,3.974,-5.603,-4.5000E-4,0.095,-0.134,66.150,-5.177,11.352,32.219,-0.1236,0.271,0.769
66.200,0.536,3.267,-30.456,0.0128,0.078,-0.727,66.200,-0.097,0.052,-0.768,-0.0023,0.001,-0.018,66.200,-0.047,1.152,-9.268,-0.0011,0.028,-0.221,,,,,,,,66.200,-3.652,-10.760,-6.475,-0.0872,-0.257,-0.155,66.200,0.468,-4.854,-11.240,0.0112,-0.116,-0.268,66.200,-5.898,1.121,44.576,-0.1408,0.027,1.064,66.200,-4.588,-3.005,-1.239,-0.1095,-0.072,-0.030,66.200,-1.429,4.225,38.327,-0.0341,0.101,0.915,66.200,0.116,4.828,-13.387,0.0028,0.115,-0.320,66.200,0.182,3.398,-15.359,0.0043,0.081,-0.367,66.200,-4.552,12.394,16.424,-0.1087,0.296,0.392
66.250,0.661,1.503,-35.029,0.0158,0.036,-0.836,66.250,-0.096,0.021,-0.314,-0.0023,5.000E-4,-0.008,66.250,2.762E-15,0.607,-11.065,2.3852E-18,0.014,-0.264,,,,,,,,66.250,-4.205,-11.273,-3.316,-0.1004,-0.269,-0.079,66.250,0.199,-5.121,0.611,0.0048,-0.122,0.015,66.250,-5.777,3.314,37.909,-0.1379,0.079,0.905,66.250,-4.741,-3.063,-0.367,-0.1132,-0.073,-0.009,66.250,-1.161,6.079,30.002,-0.0277,0.145,0.716,66.250,0.350,3.801,-24.609,0.0084,0.091,-0.588,66.250,0.338,2.351,-22.602,0.0081,0.056,-0.540,66.250,-3.910,12.703,8.133,-0.0933,0.303,0.194
66.300,0.690,-0.387,-35.308,0.0165,-0.009,-0.843,66.300,-0.096,0.016,0.209,-0.0023,3.750E-4,0.005,66.300,0.016,0.000,-11.554,3.7500E-4,0.000,-0.276,,,,,,,,66.300,-4.791,-11.404,8.116,-0.1144,-0.272,0.194,66.300,-0.066,-4.765,11.798,-0.0016,-0.114,0.282,66.300,-5.551,5.037,27.594,-0.1325,0.120,0.659,66.300,-4.896,-3.063,1.134,-0.1169,-0.073,0.027,66.300,-0.804,7.404,16.895,-0.0192,0.177,0.403,66.300,0.515,2.246,-32.376,0.0123,0.054,-0.773,66.300,0.427,1.005,-26.145,0.0102,0.024,-0.624,66.300,-3.277,12.839,9.041,-0.0782,0.306,0.216
66.350,0.619,-2.173,-31.346,0.0148,-0.052,-0.748,66.350,-0.096,0.042,0.733,-0.0023,1.000E-3,0.018,66.350,2.762E-15,-0.597,-10.664,2.3852E-18,-0.014,-0.255,,,,,,,,66.350,-5.377,-10.692,25.395,-0.1284,-0.255,0.606,66.350,-0.295,-3.869,21.118,-0.0070,-0.092,0.504,66.350,-5.251,6.142,15.429,-0.1254,0.147,0.368,66.350,-5.050,-2.974,3.316,-0.1206,-0.071,0.079,66.350,-0.393,7.922,-0.157,-0.0094,0.189,-0.004,66.350,0.586,0.393,-35.343,0.0140,0.009,-0.844,66.350,0.441,-0.414,-25.447,0.0105,-0.010,-0.607,66.350,-2.642,13.347,16.197,-0.0631,0.319,0.387
66.400,0.462,-3.649,-23.702,0.0110,-0.087,-0.566,66.400,-0.093,0.094,1.134,-0.0022,0.002,0.027,66.400,-0.047,-1.110,-8.535,-0.0011,-0.026,-0.204,,,,,,,,66.400,-5.901,-8.906,43.965,-0.1409,-0.213,1.050,66.400,-0.467,-2.566,28.013,-0.0111,-0.061,0.669,66.400,-4.913,6.571,3.543,-0.1173,0.157,0.085,66.400,-5.198,-2.754,6.074,-0.1241,-0.066,0.145,66.400,0.024,7.451,-18.780,5.6250E-4,0.178,-0.448,66.400,0.554,-1.477,-33.004,0.0132,-0.035,-0.788,66.400,0.380,-1.681,-20.735,0.0091,-0.040,-0.495,66.400,-1.968,14.462,22.707,-0.0470,0.345,0.542
66.450,0.237,-4.639,-13.369,0.0057,-0.111,-0.319,66.450,-0.086,0.162,1.361,-0.0021,0.004,0.032,66.450,-0.116,-1.482,-5.498,-0.0028,-0.035,-0.131,,,,,,,,66.450,-6.302,-6.152,59.219,-0.1505,-0.147,1.414,66.450,-0.561,-0.984,32.376,-0.0134,-0.024,0.773,66.450,-4.573,6.409,-6.074,-0.1092,0.153,-0.145,66.450,-5.331,-2.377,9.093,-0.1273,-0.057,0.217,66.450,0.388,5.985,-35.797,0.0093,0.143,-0.855,66.450,0.429,-3.079,-25.813,0.0102,-0.074,-0.616,66.450,0.261,-2.597,-12.950,0.0062,-0.062,-0.309,66.450,-1.214,15.938,20.769,-0.0290,0.381,0.496
66.500,-0.024,-5.032,-1.763,-5.6250E-4,-0.120,-0.042,66.500,-0.077,0.236,1.414,-0.0018,0.006,0.034,66.500,-0.201,-1.676,-1.955,-0.0048,-0.040,-0.047,,,,,,,,66.500,-6.538,-2.754,68.330,-0.1561,-0.066,1.631,66.500,-0.570,0.754,34.208,-0.0136,0.018,0.817,66.500,-4.258,5.833,-12.182,-0.1017,0.139,-0.291,66.500,-5.441,-1.838,11.956,-0.1299,-0.044,0.285,66.500,0.650,3.707,-48.363,0.0155,0.088,-1.155,66.500,0.229,-4.184,-15.045,0.0055,-0.100,-0.359,66.500,0.104,-3.032,-3.526,0.0025,-0.072,-0.084,66.500,-0.366,17.059,6.196,-0.0087,0.407,0.148
66.550,-0.287,-4.801,9.530,-0.0069,-0.115,0.228,66.550,-0.063,0.309,1.326,-0.0015,0.007,0.032,66.550,-0.291,-1.681,1.710,-0.0069,-0.040,0.041,,,,,,,,66.550,-6.586,0.922,70.197,-0.1572,0.022,1.676,66.550,-0.487,2.524,33.283,-0.0116,0.060,0.795,66.550,-3.984,5.058,-14.626,-0.0951,0.121,-0.349,66.550,-5.520,-1.162,14.312,-0.1318,-0.028,0.342,66.550,0.776,0.927,-54.664,0.0185,0.022,-1.305,66.550,-0.013,-4.644,-2.513,-3.0000E-4,-0.111,-0.060,66.550,-0.061,-2.948,5.847,-0.0015,-0.070,0.140,66.550,0.537,16.980,-18.396,0.0128,0.405,-0.439
66.600,-0.523,-4.016,19.129,-0.0125,-0.096,0.457,66.600,-0.046,0.372,1.117,-0.0011,0.009,0.027,66.600,-0.375,-1.497,5.131,-0.0090,-0.036,0.122,,,,,,,,66.600,-6.443,4.519,64.490,-0.1538,0.108,1.540,66.600,-0.314,4.189,29.112,-0.0075,0.100,0.695,66.600,-3.753,4.267,-14.032,-0.0896,0.102,-0.335,66.600,-5.561,-0.382,15.848,-0.1327,-0.009,0.378,66.600,0.748,-2.000,-53.878,0.0179,-0.048,-1.286,66.600,-0.259,-4.424,9.791,-0.0062,-0.106,0.234,66.600,-0.207,-2.388,13.579,-0.0050,-0.057,0.324,66.600,1.398,15.279,-44.785,0.0334,0.365,-1.069
66.650,-0.704,-2.796,26.145,-0.0168,-0.067,0.624,66.650,-0.025,0.424,0.768,-6.0000E-4,0.010,0.018,66.650,-0.446,-1.147,7.941,-0.0106,-0.027,0.190,,,,,,,,66.650,-6.120,7.634,51.627,-0.1461,0.182,1.233,66.650,-0.060,5.566,21.206,-0.0014,0.133,0.506,66.650,-3.561,3.587,-11.397,-0.0850,0.086,-0.272,66.650,-5.561,0.461,16.284,-0.1327,0.011,0.389,66.650,0.569,-4.707,-46.007,0.0136,-0.112,-1.098,66.650,-0.476,-3.592,20.124,-0.0114,-0.086,0.480,66.650,-0.313,-1.487,18.466,-0.0075,-0.035,0.441,66.650,2.116,12.200,-64.717,0.0505,0.291,-1.545
66.700,-0.812,-1.299,30.264,-0.0194,-0.031,0.722,66.700,-0.003,0.456,0.279,-7.5000E-5,0.011,0.007,66.700,-0.495,-0.670,9.826,-0.0118,-0.016,0.235,,,,,,,,66.700,-5.649,9.880,33.737,-0.1349,0.236,0.805,66.700,0.259,6.446,9.652,0.0062,0.154,0.230,66.700,-3.401,3.094,-7.662,-0.0812,0.074,-0.183,66.700,-5.515,1.293,15.481,-0.1317,0.031,0.370,66.700,0.258,-6.822,-32.062,0.0062,-0.163,-0.765,66.700,-0.635,-2.299,27.280,-0.0152,-0.055,0.651,66.700,-0.361,-0.419,19.897,-0.0086,-0.010,0.475,66.700,2.639,8.404,-75.102,0.0630,0.201,-1.793
66.750,-0.837,0.325,31.521,-0.0200,0.008,0.753,66.750,0.022,0.456,-0.297,5.2500E-4,0.011,-0.007,66.750,-0.515,-0.126,10.647,-0.0123,-0.003,0.254,,,,,,,,66.750,-5.091,11.048,15.027,-0.1215,0.264,0.359,66.750,0.609,6.629,-4.416,0.0146,0.158,-0.105,66.750,-3.259,2.812,-3.456,-0.0778,0.067,-0.083,66.750,-5.427,2.047,13.614,-0.1296,0.049,0.325,66.750,-0.146,-8.053,-14.347,-0.0035,-0.192,-0.342,66.750,-0.715,-0.733,30.631,-0.0171,-0.017,0.731,66.750,-0.353,0.623,17.942,-0.0084,0.015,0.428,66.750,2.956,4.440,-78.488,0.0706,0.106,-1.874
66.800,-0.779,1.943,29.985,-0.0186,0.046,0.716,66.800,0.044,0.424,-0.838,0.0010,0.010,-0.020,66.800,-0.507,0.429,10.420,-0.0121,0.010,0.249,,,,,,,,66.800,-4.508,11.226,0.454,-0.1076,0.268,0.011,66.800,0.950,6.021,-19.024,0.0227,0.144,-0.454,66.800,-3.126,2.744,1.065,-0.0746,0.065,0.025,66.800,-5.306,2.676,11.083,-0.1267,0.064,0.265,66.800,-0.584,-8.273,3.892,-0.0139,-0.197,0.093,66.800,-0.710,0.901,29.985,-0.0170,0.021,0.716,66.800,-0.292,1.471,13.195,-0.0070,0.035,0.315,66.800,3.079,0.508,-79.395,0.0735,0.012,-1.895
66.850,-0.639,3.419,25.552,-0.0153,0.082,0.610,66.850,0.064,0.367,-1.274,0.0015,0.009,-0.030,66.850,-0.471,0.948,9.215,-0.0112,0.023,0.220,,,,,,,,66.850,-3.946,10.797,-6.370,-0.0942,0.258,-0.152,66.850,1.238,4.665,-31.992,0.0296,0.111,-0.764,66.850,-2.992,2.901,6.056,-0.0714,0.069,0.145,66.850,-5.155,3.163,8.273,-0.1231,0.075,0.198,66.850,-1.005,-7.561,19.635,-0.0240,-0.180,0.469,66.850,-0.620,2.398,25.464,-0.0148,0.057,0.608,66.850,-0.195,2.005,6.615,-0.0047,0.048,0.158,66.850,3.008,-3.451,-80.198,0.0718,-0.082,-1.915
66.900,-0.427,4.602,18.169,-0.0102,0.110,0.434,66.900,0.082,0.293,-1.571,0.0019,0.007,-0.038,66.900,-0.410,1.382,7.103,-0.0098,0.033,0.170,,,,,,,,66.900,-3.426,10.268,-4.643,-0.0818,0.245,-0.111,66.900,1.437,2.702,-41.539,0.0343,0.064,-0.992,66.900,-2.845,3.325,11.589,-0.0679,0.079,0.277,66.900,-4.984,3.503,5.463,-0.1190,0.084,0.130,66.900,-1.365,-6.147,31.172,-0.0326,-0.147,0.744,66.900,-0.459,3.566,17.523,-0.0110,0.085,0.418,66.900,-0.079,2.157,-0.698,-0.0019,0.051,-0.017,66.900,2.739,-7.524,-79.325,0.0654,-0.180,-1.894
66.950,-0.163,5.330,8.203,-0.0039,0.127,0.196,66.950,0.094,0.204,-1.710,0.0022,0.005,-0.041,66.950,-0.328,1.686,4.206,-0.0078,0.040,0.100,,,,,,,,66.950,-2.934,10.095,3.560,-0.0701,0.241,0.085,66.950,1.522,0.351,-46.461,0.0363,0.008,-1.109,66.950,-2.670,4.047,17.541,-0.0637,0.097,0.419,66.950,-4.800,3.702,2.862,-0.1146,0.088,0.068,66.950,-1.634,-4.288,38.415,-0.0390,-0.102,0.917,66.950,-0.247,4.241,7.016,-0.0059,0.101,0.167,66.950,0.035,1.922,-7.557,8.2500E-4,0.046,-0.180,66.950,2.260,-11.587,-72.344,0.0540,-0.277,-1.727
67.000,0.126,5.482,-3.368,0.0030,0.131,-0.080,67.000,0.102,0.115,-1.693,0.0024,0.003,-0.040,67.000,-0.236,1.822,0.750,-0.0056,0.043,0.018,,,,,,,,67.000,-2.439,10.535,14.347,-0.0582,0.251,0.342,67.000,1.477,-2.126,-46.129,0.0353,-0.051,-1.101,67.000,-2.450,5.074,23.649,-0.0585,0.121,0.565,67.000,-4.610,3.775,0.663,-0.1101,0.090,0.016,67.000,-1.800,-2.194,42.359,-0.0430,-0.052,1.011,67.000,-0.014,4.314,-4.765,-3.3750E-4,0.103,-0.114,67.000,0.126,1.346,-12.811,0.0030,0.032,-0.306,67.000,1.569,-15.153,-55.781,0.0375,-0.362,-1.332
67.050,0.407,5.000,-15.045,0.0097,0.119,-0.359,67.050,0.105,0.031,-1.501,0.0025,7.500E-4,-0.036,67.050,-0.140,1.770,-2.915,-0.0033,0.042,-0.070,,,,,,,,67.050,-1.904,11.598,22.951,-0.0455,0.277,0.548,67.050,1.304,-4.445,-40.527,0.0311,-0.106,-0.967,67.050,-2.172,6.414,29.356,-0.0519,0.153,0.701,67.050,-4.419,3.749,-1.012,-0.1055,0.089,-0.024,67.050,-1.857,0.010,44.035,-0.0443,2.500E-4,1.051,67.050,0.207,3.754,-16.144,0.0049,0.090,-0.385,67.050,0.178,0.550,-15.551,0.0042,0.013,-0.371,67.050,0.702,-17.525,-31.538,0.0168,-0.418,-0.753
67.100,0.647,3.922,-25.150,0.0155,0.094,-0.600,67.100,0.105,-0.042,-1.134,0.0025,-1.000E-3,-0.027,67.100,-0.052,1.524,-6.336,-0.0012,0.036,-0.151,,,,,,,,67.100,-1.296,13.069,24.557,-0.0309,0.312,0.586,67.100,1.018,-6.341,-30.299,0.0243,-0.151,-0.723,67.100,-1.821,8.053,33.161,-0.0435,0.192,0.792,67.100,-4.233,3.655,-2.164,-0.1011,0.087,-0.052,67.100,-1.800,2.262,43.721,-0.0430,0.054,1.044,67.100,0.382,2.623,-25.290,0.0091,0.063,-0.604,67.100,0.182,-0.314,-15.324,0.0043,-0.007,-0.366,67.100,-0.248,-18.321,-7.679,-0.0059,-0.437,-0.183
67.150,0.815,2.377,-32.271,0.0195,0.057,-0.770,67.150,0.101,-0.089,-0.628,0.0024,-0.002,-0.015,67.150,0.019,1.110,-9.023,4.5000E-4,0.026,-0.215,,,,,,,,67.150,-0.598,14.446,15.865,-0.0143,0.345,0.379,67.150,0.647,-7.592,-16.930,0.0155,-0.181,-0.404,67.150,-1.376,9.875,32.324,-0.0329,0.236,0.772,67.150,-4.053,3.519,-2.915,-0.0967,0.084,-0.070,67.150,-1.630,4.466,40.684,-0.0389,0.107,0.971,67.150,0.484,1.089,-30.665,0.0115,0.026,-0.732,67.150,0.143,-1.084,-12.235,0.0034,-0.026,-0.292,67.150,-1.180,-17.881,6.650,-0.0282,-0.427,0.159
67.200,0.894,0.560,-35.587,0.0213,0.013,-0.850,67.200,0.094,-0.105,-0.105,0.0022,-0.003,-0.002,67.200,0.063,0.581,-10.612,0.0015,0.014,-0.253,,,,,,,,67.200,0.176,15.053,-2.601,0.0042,0.359,-0.062,67.200,0.231,-8.069,-2.688,0.0055,-0.193,-0.064,67.200,-0.831,11.561,23.859,-0.0198,0.276,0.570,67.200,-3.880,3.356,-3.421,-0.0926,0.080,-0.082,67.200,-1.348,6.466,33.545,-0.0322,0.154,0.801,67.200,0.496,-0.607,-31.416,0.0118,-0.015,-0.750,67.200,0.066,-1.618,-6.877,0.0016,-0.039,-0.164,67.200,-2.045,-17.101,8.447,-0.0488,-0.408,0.202
67.250,0.873,-1.319,-34.819,0.0209,-0.031,-0.831,67.250,0.090,-0.094,0.314,0.0021,-0.002,0.008,67.250,0.079,0.005,-10.943,0.0019,1.250E-4,-0.261,,,,,,,,67.250,0.958,14.373,-25.621,0.0229,0.343,-0.612,67.250,-0.187,-7.796,9.896,-0.0045,-0.186,0.236,67.250,-0.199,12.603,6.667,-0.0048,0.301,0.159,67.250,-3.717,3.173,-3.822,-0.0887,0.076,-0.091,67.250,-0.969,8.011,21.241,-0.0231,0.191,0.507,67.250,0.419,-2.215,-27.489,0.0100,-0.053,-0.656,67.250,-0.031,-1.817,-0.244,-7.5000E-4,-0.043,-0.006,67.250,-2.865,-16.750,3.665,-0.0684,-0.400,0.088
